Simulation,Seed,Crash Severity (%),Recovery Time (Ticks),Recovered
Baseline Model with HFT,50,9.41,100,1
Baseline Model with HFT,51,8.28,83,1
Baseline Model with HFT,52,8.62,85,1
Baseline Model with HFT,53,6.16,70,1
Baseline Model with HFT,54,6.81,78,1
Baseline Model with HFT,55,7.67,97,1
Baseline Model with HFT,56,4.92,73,1
Baseline Model with HFT,57,6.57,105,1
Baseline Model with HFT,59,6.73,80,1
Baseline Model with HFT,58,6.42,102,1
Baseline Model with HFT,60,7.71,132,1
Baseline Model with HFT,61,4.96,90,1
Baseline Model with HFT,62,4.92,61,1
Baseline Model with HFT,63,7.1,82,1
Baseline Model with HFT,65,5.17,65,1
Baseline Model with HFT,64,7.34,79,1
Baseline Model with HFT,66,6.3,99,1
Baseline Model with HFT,67,5.89,85,1
Baseline Model with HFT,68,7.72,81,1
Baseline Model with HFT,69,6.0,88,1
Baseline Model with HFT,70,6.86,79,1
Baseline Model with HFT,71,8.29,91,1
Baseline Model with HFT,73,6.82,80,1
Baseline Model with HFT,72,4.25,80,1
Baseline Model with HFT,74,8.36,82,1
Baseline Model with HFT,75,8.3,91,1
Baseline Model with HFT,76,8.47,87,1
Baseline Model with HFT,77,5.78,106,1
Baseline Model with HFT,78,8.86,83,1
Baseline Model with HFT,79,6.36,92,1
Baseline Model with HFT,80,6.01,76,1
Baseline Model with HFT,83,0.64,94,1
Baseline Model with HFT,82,6.12,102,1
Baseline Model with HFT,81,8.02,103,1
Baseline Model with HFT,84,6.9,89,1
Baseline Model with HFT,85,5.66,74,1
Baseline Model with HFT,86,5.49,89,1
Baseline Model with HFT,87,8.03,76,1
Baseline Model with HFT,88,7.93,91,1
Baseline Model with HFT,89,7.75,109,1
Baseline Model with HFT,90,7.25,99,1
Baseline Model with HFT,91,8.2,88,1
Baseline Model with HFT,92,5.38,109,1
Baseline Model with HFT,93,5.21,83,1
Baseline Model with HFT,94,6.34,83,1
Baseline Model with HFT,95,5.94,90,1
Baseline Model with HFT,97,5.62,97,1
Baseline Model with HFT,99,5.14,69,1
Baseline Model with HFT,98,8.29,115,1
Baseline Model with HFT,96,7.55,77,1
Baseline Model with Momentum,0,4.54,47,1
Baseline Model with Momentum,1,8.26,117,1
Baseline Model with Momentum,2,8.66,106,1
Baseline Model with Momentum,3,7.91,79,1
Baseline Model with Momentum,4,8.65,92,1
Baseline Model with Momentum,5,9.23,113,1
Baseline Model with Momentum,6,9.09,109,1
Baseline Model with Momentum,7,8.3,82,1
Baseline Model with Momentum,8,8.24,88,1
Baseline Model with Momentum,10,8.21,109,1
Baseline Model with Momentum,9,9.13,93,1
Baseline Model with Momentum,11,8.43,78,1
Baseline Model with Momentum,12,7.31,79,1
Baseline Model with Momentum,13,8.22,101,1
Baseline Model with Momentum,14,8.06,77,1
Baseline Model with Momentum,15,8.13,97,1
Baseline Model with Momentum,16,6.25,77,1
Baseline Model with Momentum,18,8.29,83,1
Baseline Model with Momentum,17,7.54,96,1
Baseline Model with Momentum,19,9.24,106,1
Baseline Model with Momentum,20,7.65,80,1
Baseline Model with Momentum,23,6.43,106,1
Baseline Model with Momentum,22,8.69,90,1
Baseline Model with Momentum,21,8.89,126,1
Baseline Model with Momentum,24,8.31,104,1
Baseline Model with Momentum,25,8.19,87,1
Baseline Model with Momentum,26,8.37,70,1
Baseline Model with Momentum,27,5.87,71,1
Baseline Model with Momentum,28,8.65,111,1
Baseline Model with Momentum,29,8.04,75,1
Baseline Model with Momentum,30,8.69,93,1
Baseline Model with Momentum,31,7.51,88,1
Baseline Model with Momentum,34,9.18,83,1
Baseline Model with Momentum,32,9.09,119,1
Baseline Model with Momentum,33,8.8,66,1
Baseline Model with Momentum,35,8.72,100,1
Baseline Model with Momentum,36,9.03,131,1
Baseline Model with Momentum,38,8.87,107,1
Baseline Model with Momentum,40,6.01,75,1
Baseline Model with Momentum,37,8.68,112,1
Baseline Model with Momentum,41,9.05,95,1
Baseline Model with Momentum,39,8.32,113,1
Baseline Model with Momentum,42,9.34,105,1
Baseline Model with Momentum,43,8.91,92,1
Baseline Model with Momentum,44,8.82,122,1
Baseline Model with Momentum,46,8.78,95,1
Baseline Model with Momentum,45,8.9,106,1
Baseline Model with Momentum,47,8.92,75,1
Baseline Model with Momentum,50,8.08,87,1
Baseline Model with Momentum,49,9.39,106,1
Baseline Model with Momentum,48,8.36,112,1
Baseline Model with Momentum,51,9.9,141,1
Baseline Model with Momentum,52,7.8,98,1
Baseline Model with Momentum,54,8.86,102,1
Baseline Model with Momentum,56,8.65,92,1
Baseline Model with Momentum,57,5.89,54,1
Baseline Model with Momentum,53,9.04,84,1
Baseline Model with Momentum,55,7.75,83,1
Baseline Model with Momentum,58,6.71,75,1
Baseline Model with Momentum,59,8.18,101,1
Baseline Model with Momentum,60,5.76,53,1
Baseline Model with Momentum,65,7.08,70,1
Baseline Model with Momentum,61,8.08,94,1
Baseline Model with Momentum,64,7.97,100,1
Baseline Model with Momentum,63,8.0,87,1
Baseline Model with Momentum,66,5.25,53,1
Baseline Model with Momentum,62,8.94,86,1
Baseline Model with Momentum,67,7.3,87,1
Baseline Model with Momentum,68,8.24,70,1
Baseline Model with Momentum,69,8.43,98,1
Baseline Model with Momentum,72,8.97,79,1
Baseline Model with Momentum,70,9.06,97,1
Baseline Model with Momentum,74,9.62,125,1
Baseline Model with Momentum,71,8.91,109,1
Baseline Model with Momentum,73,8.11,101,1
Baseline Model with Momentum,75,9.67,105,1
Baseline Model with Momentum,81,5.52,38,1
Baseline Model with Momentum,76,8.79,85,1
Baseline Model with Momentum,77,8.62,93,1
Baseline Model with Momentum,78,9.06,111,1
Baseline Model with Momentum,79,6.77,72,1
Baseline Model with Momentum,80,9.03,127,1
Baseline Model with Momentum,82,8.23,109,1
Baseline Model with Momentum,85,5.45,59,1
Baseline Model with Momentum,83,9.1,130,1
Baseline Model with Momentum,84,7.04,82,1
Baseline Model with Momentum,86,7.46,87,1
Baseline Model with Momentum,87,8.76,248,1
Baseline Model with Momentum,89,7.71,83,1
Baseline Model with Momentum,88,11.1,123,1
Baseline Model with Momentum,90,8.67,102,1
Baseline Model with Momentum,92,8.11,128,1
Baseline Model with Momentum,91,7.58,102,1
Baseline Model with Momentum,93,9.43,102,1
Baseline Model with Momentum,94,9.28,123,1
Baseline Model with Momentum,95,9.46,118,1
Baseline Model with Momentum,97,9.1,116,1
Baseline Model with Momentum,96,8.67,109,1
Baseline Model with Momentum,98,7.99,84,1
Baseline Model with Momentum,100,9.07,96,1
Baseline Model With Stop Loss,1,9.5,117,1
Baseline Model With Stop Loss,0,8.72,116,1
Baseline Model With Stop Loss,4,8.24,98,1
Baseline Model With Stop Loss,2,8.91,112,1
Baseline Model With Stop Loss,3,8.01,100,1
Baseline Model With Stop Loss,5,8.33,95,1
Baseline Model With Stop Loss,6,8.82,90,1
Baseline Model With Stop Loss,8,8.94,116,1
Baseline Model With Stop Loss,7,8.2,105,1
Baseline Model With Stop Loss,11,8.03,95,1
Baseline Model With Stop Loss,9,8.22,99,1
Baseline Model With Stop Loss,10,9.37,121,1
Baseline Model With Stop Loss,12,8.42,88,1
Baseline Model With Stop Loss,13,7.56,108,1
Baseline Model With Stop Loss,14,8.24,110,1
Baseline Model With Stop Loss,15,6.83,100,1
Baseline Model With Stop Loss,16,9.07,77,1
Baseline Model With Stop Loss,18,6.21,60,1
Baseline Model With Stop Loss,17,7.76,88,1
Baseline Model With Stop Loss,19,8.9,112,1
Baseline Model With Stop Loss,20,8.78,110,1
Baseline Model With Stop Loss,21,8.35,83,1
Baseline Model With Stop Loss,22,7.9,107,1
Baseline Model With Stop Loss,23,8.75,115,1
Baseline Model With Stop Loss,24,8.62,88,1
Baseline Model With Stop Loss,25,8.81,112,1
Baseline Model With Stop Loss,26,8.45,103,1
Baseline Model With Stop Loss,27,7.98,86,1
Baseline Model With Stop Loss,28,7.7,101,1
Baseline Model With Stop Loss,29,9.04,133,1
Baseline Model With Stop Loss,30,8.29,90,1
Baseline Model With Stop Loss,32,6.68,74,1
Baseline Model With Stop Loss,31,9.43,113,1
Baseline Model With Stop Loss,33,7.86,100,1
Baseline Model With Stop Loss,34,8.79,92,1
Baseline Model With Stop Loss,35,7.09,73,1
Baseline Model With Stop Loss,37,8.49,99,1
Baseline Model With Stop Loss,36,8.01,82,1
Baseline Model With Stop Loss,38,9.12,118,1
Baseline Model With Stop Loss,40,8.53,89,1
Baseline Model With Stop Loss,39,8.18,66,1
Baseline Model With Stop Loss,41,5.78,72,1
Baseline Model With Stop Loss,43,7.22,84,1
Baseline Model With Stop Loss,42,8.75,86,1
Baseline Model With Stop Loss,45,8.87,87,1
Baseline Model With Stop Loss,44,8.96,95,1
Baseline Model With Stop Loss,46,8.7,104,1
Baseline Model With Stop Loss,47,7.67,84,1
Baseline Model With Stop Loss,48,8.69,95,1
Baseline Model With Stop Loss,49,9.12,102,1
Baseline Model With Stop Loss,50,5.94,80,1
Baseline Model With Stop Loss,51,8.89,115,1
Baseline Model With Stop Loss,53,8.58,73,1
Baseline Model With Stop Loss,52,7.12,96,1
Baseline Model With Stop Loss,54,6.01,76,1
Baseline Model With Stop Loss,56,7.55,83,1
Baseline Model With Stop Loss,55,7.96,120,1
Baseline Model With Stop Loss,57,8.75,84,1
Baseline Model With Stop Loss,59,6.38,83,1
Baseline Model With Stop Loss,60,6.49,80,1
Baseline Model With Stop Loss,58,9.15,110,1
Baseline Model With Stop Loss,61,9.08,97,1
Baseline Model With Stop Loss,62,9.22,110,1
Baseline Model With Stop Loss,63,8.21,82,1
Baseline Model With Stop Loss,64,8.72,103,1
Baseline Model With Stop Loss,65,9.05,94,1
Baseline Model With Stop Loss,66,7.88,121,1
Baseline Model With Stop Loss,68,7.09,84,1
Baseline Model With Stop Loss,69,9.41,97,1
Baseline Model With Stop Loss,67,8.49,100,1
Baseline Model With Stop Loss,71,8.84,91,1
Baseline Model With Stop Loss,70,7.88,106,1
Baseline Model With Stop Loss,72,7.17,66,1
Baseline Model With Stop Loss,73,9.07,94,1
Baseline Model With Stop Loss,74,7.45,73,1
Baseline Model With Stop Loss,75,8.12,83,1
Baseline Model With Stop Loss,76,8.22,105,1
Baseline Model With Stop Loss,77,10.33,117,1
